method,legacy85_top1,legacy85_hard_top1,dense200_top1,dense200_hard_top1,dense200_ambiguity_top1,dense200_appearance_top1
stage1_frozen_baseline,0.15294117647058825,0.15294117647058825,0.18,0.18,0.1780821917808219,0.18248175182481752
legacysem_best,0.15294117647058825,0.15294117647058825,0.175,0.175,0.1643835616438356,0.19708029197080293
cropenc_baseline_best,0.1411764705882353,0.1411764705882353,0.165,0.165,0.1506849315068493,0.1897810218978102
current_calibration_only_best,0.1411764705882353,0.1411764705882353,0.165,0.165,0.1506849315068493,0.1897810218978102
current_tusb_v3p1_best::best.pt,0.15294117647058825,0.15294117647058825,0.185,0.185,0.15753424657534246,0.20437956204379562
