method,hard_subset_top1_acc,ambiguity_top1_acc,appearance_change_top1_acc,small_object_top1_acc,occlusion_reappearance_top1_acc,long_gap_persistence_top1_acc
stage1_frozen_baseline,0.18,0.1780821917808219,0.18248175182481752,0.17045454545454544,0.15503875968992248,0.208955223880597
legacysem_best,0.175,0.1643835616438356,0.19708029197080293,0.1590909090909091,0.16279069767441862,0.19402985074626866
cropenc_baseline_best,0.165,0.1506849315068493,0.1897810218978102,0.14772727272727273,0.15503875968992248,0.1791044776119403
current_calibration_only_best,0.165,0.1506849315068493,0.1897810218978102,0.14772727272727273,0.15503875968992248,0.1791044776119403
current_tusb_v3p1_best::best.pt,0.185,0.15753424657534246,0.20437956204379562,0.1590909090909091,0.1937984496124031,0.22388059701492538
