run_name	job_id	status_file	main_log	output_dir
full_v4_2_seed42_fixed_nowarm_lambda1_rerun_v2	20260404_114420_721	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/status/1775274260546_full_v4_2_seed42_fixed_nowarm_lambda1_rerun_v2.status.json	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/logs/1775274260546_full_v4_2_seed42_fixed_nowarm_lambda1_rerun_v2.log	/home/chen034/workspace/stwm/outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1/seed_42/full_v4_2_seed42_fixed_nowarm_lambda1_rerun_v2
full_v4_2_seed42_objbias_alpha050_replacement_v1	20260404_114420_14383	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/status/1775274260881_full_v4_2_seed42_objbias_alpha050_replacement_v1.status.json	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/logs/1775274260881_full_v4_2_seed42_objbias_alpha050_replacement_v1.log	/home/chen034/workspace/stwm/outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1/seed_42/full_v4_2_seed42_objbias_alpha050_replacement_v1
wo_semantics_v4_2_seed42_control_v1	20260404_114421_22183	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/status/1775274261057_wo_semantics_v4_2_seed42_control_v1.status.json	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/logs/1775274261057_wo_semantics_v4_2_seed42_control_v1.log	/home/chen034/workspace/stwm/outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1/seed_42/wo_semantics_v4_2_seed42_control_v1
wo_object_bias_v4_2_seed42_control_v1	20260404_114421_7606	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/status/1775274261294_wo_object_bias_v4_2_seed42_control_v1.status.json	/home/chen034/workspace/stwm/outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train/logs/1775274261294_wo_object_bias_v4_2_seed42_control_v1.log	/home/chen034/workspace/stwm/outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1/seed_42/wo_object_bias_v4_2_seed42_control_v1
